,bidder_id,bid_count,country_count,ip_count,average_distinct_country_per_auction,average_distinct_dev_per_auction,average_distinct_merc_per_auction,average_bids_per_auction,num_auction,num_auction_won,percentage_win,avg_bids_auction,competitors,outcome
0,1395ca662a02245233af951cc7ad8313vk6w0,73,20,59,1.023,1.432,1.0,1.659,44,0,0.0,0.00020755146138974183,205.1590909090909,0.0
1,34914d163517a0cc4f0c971afb2352106vsvz,27,7,24,1.778,1.556,1.0,3.0,9,0,0.0,3.885344910701823e-05,463.66666666666674,0.0
2,437c191e614776c1535305f602ea9033sdfmf,3,2,3,1.0,1.0,1.0,1.5,2,0,0.0,7.703171138785467e-05,380.0,0.0
3,46f1d7df0a8ffcc10c3de0dad8979cabgr9ig,2,2,2,1.0,1.0,1.0,1.0,2,0,0.0,0.00010147133434804668,92.0,0.0
4,7bb58b7875a093cbe7c5d487a825b730mjcw8,183,2,2,1.0,1.063,1.0,11.437999999999999,16,4,0.25,0.015079103493737641,81.0,1.0
5,b1863365ae232a316eb946ba56a29415m0gdz,5329,29,2982,1.482,9.325,1.0,46.746,114,19,0.16666666666666666,0.01659204553238391,67.39473684210526,1.0
6,ce22684df495e376e32ac95d3ceb1164t37l2,1,1,1,1.0,1.0,1.0,1.0,1,0,0.0,0.00011349449551696743,203.0,0.0
7,001068c415025a009fee375a12cff4fcnht8y,1,1,1,1.0,1.0,1.0,1.0,1,0,0.0,0.0004923682914820286,153.0,0.0
8,0c57d8eaa2708b768416ca91dd8daa2cqbl31,25,5,11,1.0,1.4,1.0,1.6669999999999998,15,0,0.0,0.0006861157614512722,135.46666666666667,0.0
9,30788b28de22d28938ecd7ed6795a8b022qm7,1,1,1,1.0,1.0,1.0,1.0,1,0,0.0,0.00024826216484607745,228.0,0.0
10,424aed9d807cfe0b2167cfdaa4957fc0heell,10,1,8,1.0,1.2,1.0,2.0,5,0,0.0,0.0003470655606844133,320.0,0.0
11,4679df74080bc22e29676bddc5bcbf51gsyds,18,2,16,1.1,1.1,1.0,1.8,10,0,0.0,2.558497195602796e-05,460.7,0.0
12,6a31ec9cbfe23a9398e80403859f0402cg4ql,5,3,5,1.0,1.25,1.0,1.25,4,0,0.0,2.8110733802595185e-05,450.75,0.0
13,8bf07d8631a2808f2c869e27afad2d41swgkd,3113,45,514,2.042,5.81,1.0,18.53,168,2,0.011904761904761904,0.0069604686521778005,79.20833333333333,1.0
14,a22fdc066a738070c6e4860924d06657hengu,3133,19,986,1.114,7.553,1.0,23.735,132,7,0.05303030303030303,0.00671774122651846,97.93939393939394,0.0
15,c89d56c06803b8c6316a7c906604c64939yri,26,8,19,1.043,1.087,1.0,1.13,23,0,0.0,0.00012060320155114273,273.5652173913044,0.0
16,eef111bfb93c213c174947c69b2f2b38cr2pw,169,9,91,1.111,1.8,1.0,3.7560000000000002,45,1,0.022222222222222227,0.0002643355090179076,144.33333333333334,0.0
17,f0fd9f1b3fc9ff10c2642b3bf81946e2rsq48,58,4,40,1.133,2.667,1.0,3.867,15,0,0.0,0.00025744024501209525,221.4,0.0
18,f29896e71c8077db28617a03c0f14e7570emg,11,5,10,1.4,1.8,1.0,2.2,5,0,0.0,1.764786099902937e-05,411.4,0.0
19,50dd191676497345cc95d8b9f7284a7371z5s,1,1,1,1.0,1.0,1.0,1.0,1,0,0.0,0.0003585514521333812,199.0,0.0
20,76d4a0147a60d871867f00adf45cb792w9c6n,2655,77,1648,1.669,4.927,1.0,8.791,302,1,0.0033112582781456954,0.0014044876952594972,135.78476821192052,0.0
21,78e59e188d9780cb8988d574f692ed343s129,92,2,69,1.0,2.417,1.0,3.833,24,0,0.0,0.0001655778125731152,111.16666666666669,0.0
22,7eb6a5ffc5e8471efad7cdc8927daf677qcf8,373,4,275,1.014,3.432,1.0,5.041,74,1,0.013513513513513514,0.0009036750258625492,105.25675675675676,0.0
23,7f807b2eb6c391d55e67bcdf7e1cbb3fhylw0,1515,72,1091,1.281,3.551,1.0,4.5360000000000005,334,0,0.0,0.0011191218402352005,172.4011976047904,0.0
24,a7c910e7c7796d979aa9a7a31d74a8eaqsapx,1,1,1,1.0,1.0,1.0,1.0,1,0,0.0,1.860994850627248e-06,1112.0,0.0
25,c435ac9dcda855341e667d440c2ef7c6nd3mg,225,29,160,1.117,1.649,1.0,2.0269999999999997,111,2,0.018018018018018014,0.0007132622395800311,127.29729729729729,0.0
26,c8d3fc73c1a41bf92a5e4982eb6cf78du8gg5,12,3,12,1.0,1.2,1.0,1.2,10,0,0.0,0.00041412154467336163,224.0,0.0
